,Question,Answer
860,,"When I was little, I wanted to be a veteranarian, but then I found out you had to put your hands into cows and stuff."
861,"Hey, do you need me to pick you up?","No, I'm alright man. Really."
862,"No, I'm picking you up.","Hey no, seriously, I don't need you to pick me... Alright! It still works."
863,Really? I only had two glasses.,I just had a glass.
864,Oooooh.,Ooooooh.
865,"Yeah. Oh, OOOH, yeah, you know, did you notice how he always starts his stories with, um, OK, 'I was soooo wasted,' or, 'Oh, we were soooo bombed,' or, ummm, ooh, ooh, 'So I wake up, and I'm in this dumpster in Connecticut.'","Monica, have you ever been with him when he wasn't drinking?"
866,Hey.,Hey.
867,"OK, I guess this is gonna seem kinda bittersweet now, but... Joey, that's who.","Yeah, my agent just called me with an audition for Days of Our Lives!"
868,What?,With a man?
869,What? What is so strange about me having a date?,"What about Ross? I mean, are you still mad at him cause he made that list about you?"
870,"Well, there's my favorite client. So tell me darling, how was the audition?","Well, I think it went pretty well. I.. I got a callback for Thursday."
871,"Joey, have you ever seen me ecstatic?",No.
872,"Well, here it is.","OK, uh.... listen, there's something I want to talk to you about. The network casting lady..."
873,"Oh, isn't Lori a doll?","Oh yeah, yeah, she's great, but... I kinda got the feeling that she was sort of... coming on to me. And I definitely would get the part if I would've... you know... if I would have sent the Little General in."
874,Hey.,Hey.
875,"Whoa, whoa, so I'm guessing you didn't get the part, or... uh, Italy called and said it was hungry.","Well, the part's mine if I want it."
876,Oh my God!,"Yeah, if I'm willing to sleep with the casting lady."
877,Oh my... God?,"Ten years I've been waiting for a break like this Chandler, ten years! I mean, Days of Our Lives. That's actually on television."
878,"So, what're you gonna do?","Well, I guess I could sleep with her... I mean, how could I do that?"
879,"Well, I... I've got a pop-up book that told me everything I need to know.",I've never slept with someone for a part.
880,Well is she...,Sorry.
881,It's alright. Is she good-looking?,"Yeah, she's totally good looking. I mean, if I met her in a bar, or something, I'd be buying her breakfast. You know, after having slept with her."
882,"Y'know, maybe this isn't such a big deal. Y'know, I mean, the way that I see it is you get a great job and you get to have sex. Y'know, I mean, throw in a tree and a fat guy and you've got Christmas.","I just... I just don't think that I want it that way though, y'know? I mean, let's say I do make it, alright? I'm always gonna look back and wonder if it was because of my talent or because of.. y'know, the Little General."
883,Didn't you used to call it the Little Major?,"Yeah, but after Denise DeMarco, I had to promote it."
884,I'll take one. Sometimes I like to hold stuff like this and pretend I'm a giant.,Hey.
885,How'd the callback go?,It was unbelievable! I walked in there and she was all over me.
886,So what'd you do?,"Well, I couldn't do it. I told her I didn't want to get the part that way."
887,Good for you.,"But wait, wait, wait. Then, after I left her office, she caught up with me at the elevator and offered me an even bigger part."
888,So... and?,"Soooooo... you are now looking at Dr. Drake Ramore, neurosurgeon, recurring in at least four episodes!"
889,Allright!,Alright... I've got to go shower.
890,This is so cool. You're actually gonna be on television.,"It really hit me last night. I'm gonna be on Days of our Lives. And then I started thinkin' about all of u, and how these are the days of our lives.."
891,"Oh, you are so great! Thank you!",Are you really not going?
892,"Look, that has nothing to do with this, ok? She's my ex-wife. If she were marrying a guy, none of you'd expect me to be there.","Hey, if she were marrying a guy, she'd be like the worst lesbian ever."
893,Did I miss it? Did I miss it?,"No, I'm on right after this guy shoots himself."
894,"Whoa, she's pretty.","Yeah, and she's really nice too. She taught me all about how to work the cameras, and smell-the-fart acting."
895,What?,"It's like, you got so many lines to learn so fast, that sometimes you need a minute to remember your next one. So while you're thinkin' of it, you take this big pause where you look all intense, you know, like this."
896,"Oh, ok.","""There's my scene, there's my scene. """"Mrs. Wallace, I'm Dr. Drake Ramoray, your sister's neurosurgeon."""
897,Is she gonna be all right?,I'm afraid the situation is much worse than we expected. Your sister is suffering from a..subcranial hematoma. Perhaps we can discuss this over coffee.
898,That is so good! Do it again!,"""All right, all right. """"Damnit Braverman, it's right there on the chart!"""""""
899,Oh god.,I can't believe you're so uptight about your mom comin'.
900,Talk about crap. Try listening to Stella Niedman tell the story of her and Rod Steiger for the hundredth time.,"Uh, Pheebs, how long do you think this lady'll be with us?"
901,"I know who it is you remind me of. Evelyn Dermer. 'Course, that's before she got the lousy face lift. Now she looks like Soupy Sales.","Pheebs, who's Evelyn Dermer?"
902,None.,They didn't fight a lot?
903,"In my day, divorce was not an option.","Hey, look who's up."
904,"Joey, speed it up!","I'm sorry, it's the pigs. they're reluctant to get in the blankets!"
905,,"It just seems so futile, you know ? All these women, and nothing. I feel like Superman without my powers, you know? I have the cape, and yet I cannot fly."
906,"Yeah, can't help but.",How's that pig-in-the-blanket workin' out for you? I wrapped those bad boys.
907,"All right, just trying to start an interesting discussion.",I got one. Which one of us do you think will be the last to get married?
908,That commercial always makes me so sad.,"Yeah, but then the guy opens his beer and those girls run at him, so, everything seems to work out OK."
909,,"Hey, hey, check it out, guess what I got."
910,Rhythm?,"No, my first fan mail."
911,"This wasn't addressed to Days of Our Lives, this is, this came to your apartment. There's no stamp on it, this woman was in our building.","Oh my god, I got my very own stalker."
912,,"Hey, whaddya wanna do for dinner?"
913,It's Erica.,"Ah, the stalker."
914,"Yes, hitting her with a frying pan's a good idea. We might wanna have a backup plan, though, just in case she isn't a cartoon.",Let's get out of here.
915,The one time they're not home.,"OK, we'll just leave, and when we pass her on the stairs, she won't know it's me 'cause we've never met."
916,That's how radio stars escape stalkers.,She's comin'.
917,It's me.,"Uhh, this is it, this is how we're gonna die. Ready?"
918,Hi.,Erica.
919,"Oh, Drake, isn't it amazing?",Yeah it is. . . what?
920,"Well, here we sit, devil may care, just a little while ago you were reattaching someone's spinal cord.","Yeah, that was a tricky one. In reality, that operation takes like, over 10 hours, but they only showed it for 2 minites."
921,Who's they?,No one.
922,"Oh Drake, you are so talented, let me see those hands. Oh these hands, these beautiful hands, oh I could just eat them. . . but I won't.","Good, otherwise my watch would fall off."
923,"No, seriously. These hands. These miracle, magical, life-giving hands. Oh, just to be near them, touch them, maybe even lick one?","Alright, just one. Wow, you're good at that."
924,"I don't understand, why didn't you help that man?","Uhh, cause, uhh, I'm a neurosurgeon and that was clearly a case of, uh, uh, foodal chokage. Alright, look, I got to tell you something."
925,"No, no no no, you don't have to tell me anything. You don't have to explain yourself to me. Ooh, who am I to question the great Dr. Drake Remore?",But that's what...
926,I should just be happy to be near you.,Hey I-
927,Hey what?,"That's it, just hey. Like at the end of a dance, HEY! Hey. He-hey."
928,You're the only one who can save her Drake.,"Damnit, I'm a doctor, I'm not God."
929,It's Erica.,"Oh my God, quick turn off the TV."
930,"No no no, wait, I wanna see what happens.","Uh, I get Leslie out of the coma and then we make out."
931,"Rachel, it's a world where Joey is a neuro-surgeon.","Hey Erica, c'mon in."
932,"How did you get here so fast, I just saw you in Salem?","Right, they uh, they choppered me in. What's up?"
933,"Ohh, and I see you're having a little party too. Is she here, huh, huh?",Who?
934,Sabrina. I know about you two. I saw you today kissing in the doctor's lounge.,"It's not what you think, that was..."
935,You told me I was the only one.,"Alright look, that's it. I don't think we should see each other anymore, alright. Look, I know I should have told you this a long time ago but I am not Drake Remore, OK. I'm not even a doctor, I'm an actor. I just pretend to be a doctor."
936,Oh my God. Do the people at the hospital know about this?,Somebody wanna help me out here?
937,"How, how can you be here and there.",'Cause it's a television show.
938,"Drake, what're you getting at?",I'm not Drake.
939,Is all this true?,"Yes, I'm afraid it is. You deserve much better than me Erica. You deserve to be with the real Drake, he's the one you fell in love with. Go to Salem, find him, he's the guy for you."
940,Hans...Hans...Yo evil twin.,"Right. Goodbye Erica, good luck in Salem. Take care"
941,I'll never forget you Hans.,"OK, alright, the people who threw the water."
942,You're kidding.,This is amazing.
943,I know.,I finally get a part on TV and the monkey's makin' movies.
944,"Uh, excuse me folks this is a uhh...",Closed set. We know but we're friends with the monkey.
945,"Good morning. Hey pal, look who I brought. It's your old friend Harry Elefante.","Woah, dude, burn."
946,"Hey Sal, Jerry wants to know if the monkey's ready for the subway set?","Uh, excuse me. Jerry is the director, which one's he?"
947,The one in the director's chair.,"Gotcha. Phoebs, walk with me."
948,"OK. Um, how come I'm walking with you?","Well, we're, we're just goin' over here so that we can get away from the horrible flesh eating virus, for the love of God woman, listen to me. Is he lookin', is he lookin'?"
949,And then Jean-Claude took me to that place Crossroads and that's where we hung out with Drew Barrymore.,"Oh man, she's so smokin, she has got the greatest set of. . . no guys around, huh."
